ORDER_ID,SKU,PRODUCT_NAME,CATEGORY,CUSTOMER_EMAIL,PRICE,QUANTITY,ORDER_DATE,CHANNEL,YEAR,WEEK
SH000000,SPRT-5479,Dumbbell,SPRT,michaelboone@example.org,34.12,3,2024-10-14,shopify,2024,41
SH000001,HOME-7897,Pillow,HOME,christina25@example.net,210.67,1,2024-08-02,shopify,2024,31
SH000002,BEAU-1141,Face Mask,BEAU,valerie48@example.com,129.46,1,2024-05-23,shopify,2024,21
SH000003,ELEC-5450,Monitor,ELEC,wgreen@example.com,205.52,2,2024-12-09,shopify,2024,50
SH000004,AUTO-8926,Phone Mount,AUTO,mary05@example.org,267.05,3,2024-01-08,shopify,2024,1
SH000005,SPRT-8774,Dumbbell,SPRT,tompowers@example.net,261.76,3,2024-12-07,shopify,2024,49
SH000006,HOME-5090,Table,HOME,raymondanderson@example.org,167.98,2,2024-12-20,shopify,2024,51
SH000007,BEAU-9351,Face Mask,BEAU,brianaespinoza@example.org,133.73,1,2024-06-10,shopify,2024,23
SH000008,ELEC-4715,Headphones,ELEC,pdiaz@example.net,205.76,1,2024-01-31,shopify,2024,5
SH000009,AUTO-8497,Air Freshener,AUTO,heather16@example.com,143.91,2,2024-07-06,shopify,2024,27
SH000010,ELEC-8873,Laptop,ELEC,timothy98@example.com,179.71,1,2024-05-16,shopify,2024,20
SH000011,AUTO-1776,Air Freshener,AUTO,amy02@example.org,73.99,2,2024-12-25,shopify,2024,52
SH000012,SPRT-7361,Yoga Mat,SPRT,smalltrevor@example.net,53.22,3,2024-02-06,shopify,2024,5
SH000013,FOOD-6266,Tea,FOOD,olutz@example.com,138.36,1,2024-03-01,shopify,2024,9
SH000014,AUTO-4959,Cleaner,AUTO,kellercaitlin@example.com,279.80,1,2024-03-29,shopify,2024,13
SH000015,ELEC-2565,Laptop,ELEC,cking@example.org,67.28,1,2024-01-07,shopify,2024,1
SH000016,TOYS-5428,Action Figure,TOYS,stantonalyssa@example.org,250.04,3,2024-09-24,shopify,2024,38
SH000017,FOOD-5798,Tea,FOOD,julia87@example.org,252.61,2,2024-06-03,shopify,2024,22
SH000018,AUTO-7374,Car Charger,AUTO,yprince@example.com,253.10,1,2024-07-25,shopify,2024,30
SH000019,BEAU-3742,Perfume,BEAU,framos@example.com,193.11,2,2024-06-01,shopify,2024,23
SH000020,TOYS-4268,Action Figure,TOYS,kimberly01@example.org,193.78,2,2024-12-21,shopify,2024,51
SH000021,FASH-9097,Sneakers,FASH,amandagibson@example.com,155.28,3,2024-04-04,shopify,2024,13
SH000022,SPRT-2169,Tennis Racket,SPRT,alberthampton@example.com,33.66,3,2024-10-19,shopify,2024,43
SH000023,ELEC-5628,Smartphone,ELEC,david01@example.org,48.52,3,2024-03-30,shopify,2024,14
SH000024,AUTO-6574,Car Charger,AUTO,justin71@example.net,278.65,3,2024-01-25,shopify,2024,4
SH000025,HOME-1013,Curtains,HOME,edwin13@example.com,245.65,1,2024-12-19,shopify,2024,51
SH000026,SPRT-5567,Dumbbell,SPRT,brownolivia@example.com,225.19,2,2024-10-31,shopify,2024,43
SH000027,SPRT-3566,Running Shoes,SPRT,michellehall@example.org,31.60,2,2024-08-15,shopify,2024,33
SH000028,ELEC-3925,Laptop,ELEC,elizabethjohns@example.com,110.35,2,2024-05-05,shopify,2024,19
SH000029,AUTO-4332,Cleaner,AUTO,rfowler@example.net,240.16,2,2024-05-09,shopify,2024,19
SH000030,TOYS-4954,Board Game,TOYS,fphillips@example.org,78.07,1,2024-04-24,shopify,2024,16
SH000031,TOYS-1950,Puzzle,TOYS,phillipskimberly@example.net,258.73,1,2024-10-17,shopify,2024,42
SH000032,FASH-2679,Sneakers,FASH,bortiz@example.org,121.99,2,2024-07-11,shopify,2024,28
SH000033,FASH-2354,Sneakers,FASH,william49@example.org,54.49,1,2024-10-17,shopify,2024,42
SH000034,TOYS-4710,Action Figure,TOYS,smithmary@example.net,159.06,3,2024-02-27,shopify,2024,8
SH000035,ELEC-8839,Laptop,ELEC,lisameyer@example.net,222.00,1,2024-05-05,shopify,2024,18
SH000036,SPRT-8444,Tennis Racket,SPRT,joanna33@example.org,61.10,1,2024-12-29,shopify,2024,52
